global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
15351,,,0.9903188347816468,0.0320890322327613,0.3673918130942452,0.9864687323570251,0.0451046600937843,0.2467531356879626,43793.0,0.985623300075531,0.0479471907019615,0.2388792188110291,43793.0,4579.929854154587,7089.57489824295,4579.929854154587,2508.765280008316,0.5106532573699951,0.0
15500,0.01280039,0.035853397,,,,,,,,,,,,,,,,,
16000,0.011852343,0.03399132,,,,,,,,,,,,,,,,,
16146,,,0.9904552698135376,0.0317499190568923,0.3759059375201999,0.9865000247955322,0.0454229600727558,0.2465439110624662,43793.0,0.9856873750686646,0.04818981513381,0.2416871470637339,43793.0,4819.962957620621,7448.847566127777,4819.962957620621,2627.9578578472137,0.538485050201416,0.0
16500,0.013394329,0.035240836,,,,,,,,,,,,,,,,,
16943,,,0.990612804889679,0.0310745704919099,0.3923342993467624,0.9866761565208436,0.0449339337646961,0.2481883763128292,43793.0,0.9858095049858092,0.0478080473840236,0.2451284558513087,43793.0,5060.109432220459,7807.369671821594,5060.109432220459,2746.2861721515656,0.5664393901824951,0.0
17000,0.010110793,0.028684381,,,,,,,,,,,,,,,,,
17500,0.012169547,0.034538265,,,,,,,,,,,,,,,,,
17741,,,0.9904956817626952,0.03121436573565,0.3827515889020879,0.9866238236427308,0.0450232475996017,0.2533547440302999,43793.0,0.9856860637664796,0.0479783564805984,0.244544155577071,43793.0,5300.205405473709,8167.17295050621,5300.205405473709,2865.94571018219,0.5950961112976074,0.0
18000,0.012169614,0.03138751,,,,,,,,,,,,,,,,,
18500,0.012511744,0.032761216,,,,,,,,,,,,,,,,,
18541,,,0.9906713366508484,0.030988410115242,0.3942809964391242,0.9865012168884276,0.0451652556657791,0.2515437690132111,43793.0,0.9857690334320068,0.0478521548211574,0.2461328843575586,43793.0,5540.453552007675,8524.151455163956,5540.453552007675,2982.628463983536,0.623605489730835,0.0
19000,0.01578087,0.032761484,,,,,,,,,,,,,,,,,
19342,,,0.9908090233802797,0.0301906988024711,0.4148024368085039,0.9866716861724854,0.0450183860957622,0.2541637870072517,43793.0,0.9857636094093324,0.0479012317955493,0.2454797353494288,43793.0,5780.566792011261,8885.208612680435,5780.566792011261,3103.526114225388,0.6509778499603271,0.0
19500,0.013960357,0.032182,,,,,,,,,,,,,,,,,
20000,0.01457816,0.037638817,,,,,,,,,,,,,,,,,
20144,,,0.9909778237342834,0.0297435820102691,0.4217770246896334,0.9865962266921996,0.0450168177485466,0.2555154354218881,43793.0,0.9857505559921264,0.0477231182157993,0.2491872558137846,43793.0,6020.663792848587,9245.775425434113,6020.663792848587,3223.94864821434,0.6791856288909912,0.0
20500,0.016421275,0.03712207,,,,,,,,,,,,,,,,,
20951,,,0.9909278750419616,0.0298565123230218,0.4376183179631516,0.9867184162139891,0.0450357012450695,0.2589760558256462,43793.0,0.9858545660972596,0.0478931367397308,0.2471405413214536,43793.0,6260.650344848633,9603.788563251495,6260.650344848633,3341.928655385971,0.706390380859375,0.0
21000,0.012760401,0.029749645,,,,,,,,,,,,,,,,,
21500,0.014750923,0.03143912,,,,,,,,,,,,,,,,,
21752,,,0.9910473823547364,0.0292822644114494,0.4299573748537403,0.9867200255393982,0.0447634570300579,0.2571080741713299,43793.0,0.9858187437057496,0.0476774200797081,0.2500796586696012,43793.0,6500.611852884293,9962.836369276049,6500.611852884293,3460.967882871628,0.7341837882995605,0.0
22000,0.016194101,0.033124853,,,,,,,,,,,,,,,,,
22500,0.015359078,0.031151993,,,,,,,,,,,,,,,,,
22545,,,0.9911746978759766,0.0289212446659803,0.4340949371239833,0.9866932034492492,0.0449115969240665,0.2568905636250173,43793.0,0.9858440160751344,0.0478120110929012,0.2515250197353914,43793.0,6740.751178979874,10322.113637924194,6740.751178979874,3580.058919906616,0.7617735862731934,0.0
23000,0.014474963,0.032567587,,,,,,,,,,,,,,,,,
23340,,,0.9913663864135742,0.0283855590969324,0.4404243798840853,0.9867281317710876,0.0450101271271705,0.2604006731856771,43793.0,0.985854983329773,0.0479745157063007,0.250091278119518,43793.0,6980.850264072418,10680.12444972992,6980.850264072418,3697.921640396118,0.7909748554229736,0.0
23500,0.01719373,0.03551879,,,,,,,,,,,,,,,,,
24000,0.01788606,0.0333197,,,,,,,,,,,,,,,,,
24136,,,0.991372287273407,0.0282890573143959,0.4602787133381099,0.986718773841858,0.0447885282337665,0.2614202971500911,43793.0,0.985826313495636,0.0476898550987243,0.2543409290330518,43793.0,7220.956338167191,11040.202916145325,7220.956338167191,3817.846634626389,0.818695068359375,0.0
24500,0.017178219,0.035789423,,,,,,,,,,,,,,,,,
24932,,,0.9915687441825868,0.0276992991566658,0.4716990946912253,0.98674476146698,0.0449373722076416,0.2618642532217851,43793.0,0.9858916401863098,0.0477000549435615,0.2539176869882299,43793.0,7461.059656858444,11401.086903572084,7461.059656858444,3938.577342510224,0.8489046096801758,0.0
25000,0.015834672,0.030823478,,,,,,,,,,,,,,,,,
25500,0.015659695,0.031738468,,,,,,,,,,,,,,,,,
25733,,,0.9915797114372252,0.0274927131831645,0.4730687510525703,0.9867460131645204,0.0448826439678669,0.2615400017086992,43793.0,0.98589289188385,0.0479861870408058,0.2522206608291923,43793.0,7701.22026181221,11759.659596681597,7701.22026181221,4056.9416811466217,0.8771867752075195,0.0
26000,0.01689594,0.030396901,,,,,,,,,,,,,,,,,
26500,0.017803794,0.032283805,,,,,,,,,,,,,,,,,
26529,,,0.9913433790206908,0.0280920844525098,0.4507576214725882,0.9868685603141784,0.0452911779284477,0.2620002614225539,43793.0,0.9859354496002196,0.0485191978514194,0.2542642290283399,43793.0,7941.276777505875,12120.029221773148,7941.276777505875,4177.207139253616,0.9058983325958252,0.0
27000,0.016552286,0.030935537,,,,,,,,,,,,,,,,,
27328,,,0.9916400909423828,0.0274059437215328,0.4623834583610591,0.9868117570877076,0.0447002835571765,0.2633630571021186,43793.0,0.9859842658042908,0.0476348064839839,0.2545476116553406,43793.0,8181.4127452373505,12478.563350915909,8181.4127452373505,4295.557314634323,0.9341349601745604,0.0
27500,0.015903143,0.032236923,,,,,,,,,,,,,,,,,
28000,0.018635325,0.031084936,,,,,,,,,,,,,,,,,
28122,,,0.99152934551239,0.0276632271707057,0.4664474926785296,0.9868231415748596,0.0446750745177269,0.2692567573218211,43793.0,0.9859354496002196,0.0476779863238334,0.2606846974363728,43793.0,8421.509254932404,12838.518723964691,8421.509254932404,4415.367299079895,0.963681936264038,0.0
28500,0.015139029,0.02755158,,,,,,,,,,,,,,,,,
28927,,,0.9917492866516112,0.0271093640476465,0.4802211629750986,0.9868393540382384,0.0447659082710742,0.2674146762524075,43793.0,0.9859552383422852,0.0478021800518035,0.2553599243545492,43793.0,8661.698993682861,13195.27497792244,8661.698993682861,4531.88570356369,0.992128849029541,0.0
29000,0.017126663,0.027380714,,,,,,,,,,,,,,,,,
29500,0.016687686,0.030160632,,,,,,,,,,,,,,,,,
29739,,,0.9917426109313964,0.0270323697477579,0.4809532278646276,0.986894190311432,0.0446792803704738,0.266690061996916,43793.0,0.9859615564346312,0.0477389656007289,0.2565497417525822,43793.0,8901.712589025497,13555.573674201964,8901.712589025497,4652.123513698578,1.0198748111724854,0.0
30000,0.017622015,0.029326832,,,,,,,,,,,,,,,,,
30500,0.019510847,0.030961813,,,,,,,,,,,,,,,,,
30548,,,0.9916932582855223,0.0270757898688316,0.4752708787929151,0.986865758895874,0.044949896633625,0.2699758831797729,43793.0,0.98594468832016,0.0480803623795509,0.2586009643813834,43793.0,9141.928536176682,13915.84278345108,9141.928536176682,4772.127604484558,1.0492854118347168,0.0
31000,0.02019622,0.032478347,,,,,,,,,,,,,,,,,
31350,,,0.9917203187942504,0.0270217526704072,0.4709897739352743,0.986737072467804,0.044955238699913,0.2682948768436706,43793.0,0.9858831763267516,0.0480294525623321,0.2590827958646767,43793.0,9382.122972011566,14272.999755382538,9382.122972011566,4889.039973020554,1.0792818069458008,0.0
31500,0.017962689,0.027976025,,,,,,,,,,,,,,,,,
32000,0.022928301,0.030446673,,,,,,,,,,,,,,,,,
32156,,,0.9918476939201356,0.026642495766282,0.4916928244609285,0.9868133664131165,0.0448586568236351,0.2655469187525397,43793.0,0.9859653115272522,0.0478342771530151,0.2589094172859118,43793.0,9622.31300854683,14632.902275800703,9622.31300854683,5008.703879117966,1.107926607131958,0.0
32500,0.018621283,0.028420558,,,,,,,,,,,,,,,,,
32960,,,0.9917860627174376,0.0266712475568056,0.4956820803213057,0.9869368076324464,0.0452182665467262,0.2669544895081704,43793.0,0.9859678745269777,0.0485087744891643,0.2536050478074259,43793.0,9862.268160581589,14987.034296751022,9862.268160581589,5122.830671548843,1.1380386352539062,0.0
33000,0.018102158,0.026765168,,,,,,,,,,,,,,,,,
33500,0.02135902,0.03014691,,,,,,,,,,,,,,,,,
33765,,,0.9919589757919312,0.0262366645038127,0.4981773913015407,0.986812174320221,0.0449429228901863,0.2688041308410829,43793.0,0.985889971256256,0.0481228977441787,0.2577870568466685,43793.0,10102.244501113892,15343.763989925385,10102.244501113892,5239.534306526184,1.1680183410644531,0.0
34000,0.018339528,0.02789673,,,,,,,,,,,,,,,,,
34500,0.023033217,0.029128129,,,,,,,,,,,,,,,,,
34573,,,0.9918607473373412,0.0264601446688175,0.493075980768225,0.9868962168693542,0.0450655631721019,0.2666738464573022,43793.0,0.9860053658485411,0.0481819324195385,0.258512273417339,43793.0,10342.13280558586,15698.62466287613,10342.13280558586,5354.200483798981,1.4540390968322754,0.0
35000,0.022004515,0.03135791,,,,,,,,,,,,,,,,,
35379,,,0.9919452667236328,0.0261807776987552,0.4992327016971652,0.9869120121002196,0.0450974591076374,0.2694083612732554,43793.0,0.9859476685523988,0.0482867881655693,0.2537232228092482,43793.0,10582.235233783722,16054.840868234634,10582.235233783722,5470.265028476715,1.4830470085144043,0.0
35500,0.02171752,0.03011196,,,,,,,,,,,,,,,,,
36000,0.020425215,0.025594382,,,,,,,,,,,,,,,,,
36183,,,0.991944432258606,0.0260838810354471,0.4997910378006097,0.9869709014892578,0.0449877977371215,0.2719427950063057,43793.0,0.9859986305236816,0.0480444580316543,0.2584187955046018,43793.0,10822.21910572052,16413.721934080124,10822.21910572052,5589.113726377487,1.51165771484375,0.0
36500,0.027005678,0.027384916,,,,,,,,,,,,,,,,,
36985,,,0.992145538330078,0.0255388468503952,0.5099983919537467,0.9868669509887696,0.0450887903571128,0.271475965278031,43793.0,0.9859269857406616,0.0482206307351589,0.2552624783581714,43793.0,11062.236684799194,16767.79988336563,11062.236684799194,5703.1231327056885,1.5422985553741455,0.0
37000,0.024708772,0.031410318,,,,,,,,,,,,,,,,,
37500,0.021840857,0.028462756,,,,,,,,,,,,,,,,,
37790,,,0.9922175407409668,0.0254510771483182,0.5226939458417625,0.986811339855194,0.0448856018483638,0.270119359014984,43793.0,0.9859526753425598,0.0478500425815582,0.260474715508027,43793.0,11302.480284929276,17127.047206640244,11302.480284929276,5822.076856136322,1.5720384120941162,0.0
38000,0.026718805,0.026725693,,,,,,,,,,,,,,,,,
38500,0.022419853,0.03084528,,,,,,,,,,,,,,,,,
38589,,,0.992182731628418,0.0253427010029554,0.5217016574919506,0.9868559837341307,0.0450432747602462,0.2768410704805472,43793.0,0.985941767692566,0.0480235964059829,0.2596918200739715,43793.0,11542.44424200058,17486.37224960327,11542.44424200058,5941.387535810471,1.6027278900146484,0.0
39000,0.025778765,0.026449986,,,,,,,,,,,,,,,,,
