global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
8182,,,0.1231785428786427,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,5790.645438909531,15622.824906349182,5790.645438909531,9830.735363721848,1.1536240577697754,0.0
8358,,,0.1226626069009678,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,5911.111374616623,15886.657624959946,5911.111374616623,9974.06777882576,1.1816885471343994,0.0
8500,0.0072615915,0.12312725,,,,,,,,,,,
8525,,,0.1230050394744993,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6031.302855491638,16159.722524166107,6031.302855491638,10126.901505231855,1.215198278427124,0.0
8698,,,0.1230682757852962,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6151.641670703888,16428.777859210968,6151.641670703888,10275.583359003069,1.2436904907226562,0.0
8866,,,0.1213763355740211,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6272.504487037659,16693.407087802887,6272.504487037659,10419.314430713654,1.2728030681610107,0.0
9000,0.007504032,0.13163194,,,,,,,,,,,
9034,,,0.1240619553147621,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6392.61322593689,16964.358067512512,6392.61322593689,10570.120740175247,1.3025922775268557,0.0
9205,,,0.1227623862946558,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6512.768201589584,17238.562821626663,6512.768201589584,10724.140794038773,1.3262543678283691,0.0
9374,,,0.1251654462338243,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6633.006072282791,17526.677567481995,6633.006072282791,10891.98603773117,1.3516933917999268,0.0
9500,0.008308604,0.12737995,,,,,,,,,,,
9542,,,0.1236497047093679,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6753.363312005997,17793.382875919342,6753.363312005997,11038.299199104307,1.380382776260376,0.0
9713,,,0.1231081900450418,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6873.578608512878,18067.38759803772,6873.578608512878,11192.059101104736,1.4035840034484863,0.0
9890,,,0.1217347174508016,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,6994.200517654419,18338.21062350273,6994.200517654419,11342.230197906494,1.427201509475708,0.0
10000,0.020050868,0.13312012,,,,,,,,,,,
10062,,,0.1233162402450663,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,7114.3279457092285,18604.76394534111,7114.3279457092285,11488.62471985817,1.4524385929107666,0.0
10230,,,0.1253991382395696,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,7234.665671348572,18879.88049793244,7234.665671348572,11643.362159490584,1.487541437149048,0.0
10397,,,0.1233795684932163,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,7355.112859010696,19151.28250813484,7355.112859010696,11794.279506921768,1.51881742477417,0.0
10500,0.008624068,0.124893345,,,,,,,,,,,
10564,,,0.1246953833403077,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,7476.037807941437,19421.51701927185,7476.037807941437,11943.559185504912,1.5425903797149658,0.0
10666,,,0.124272770898522,0.1241490923299521,83274637.0,0.1264899643708881,95000000.0,7541.851372003555,19687.02222943306,7541.851372003555,12143.223886013033,1.5656373500823977,0.0
10666,,,,,,,,7541.851372003555,,,,,0.0
